Shell for /hpcfs/juno/junogpu/xuhangkun/SoftWare/VsCode/.local/share/virtualenvs/tianchi_channel_1-2IKVIXD7 already activated.
No action taken to avoid nested environments.
If the cuda is avaliable ?
True
Start getting data...
Finish getting data ~ v ~
[Info] Training performance will be written to file: ./user_data/model_data/TextRCNN/TextRCNN_train.csv
Namespace(batch_size=128, bert_path='/hpcfs/juno/junogpu/xuhangkun/ML/MyselfProject/Test/tianchi_channel_1/user_data/bert', dropout=0.3, eda_alpha=0.0, epoch=100, fold_index=-1, fold_k=5, frazing_bert_encode=False, hidden_size=256, input='./tcdata/train.csv', label_smoothing=0.0, lr=0.0005, lstm_dropout=0.1, lstm_layer=2, max_len=100, model='TextRCNN', n_aug=0.0, nclass=29, nemb=100, no_word2vec_pretrain=True, ntokens=859, output_dir='./user_data/model_data/TextRCNN', pad_token=858, save_mode='best', save_per_epoch=5, save_start_epoch=5, seed=None, stop_early=False, tokenizer_path='/hpcfs/juno/junogpu/xuhangkun/ML/MyselfProject/Test/tianchi_channel_1/user_data/bert', word2vec_path='/hpcfs/juno/junogpu/xuhangkun/ML/MyselfProject/Test/tianchi_channel_1/user_data/word_pretrain/word2vector.model')
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0th fold (total : 5)
Create model...
TextRCNNModel(
  (embed): Embedding(859, 100, padding_idx=858)
  (emb_dropout_layer): Dropout(p=0.3, inplace=False)
  (lstm): LSTM(100, 256, num_layers=2, batch_first=True, dropout=0.1, bidirectional=True)
  (W2): Linear(in_features=612, out_features=512, bias=True)
  (final_dropout_layer): Dropout(p=0.3, inplace=False)
  (fc): Linear(in_features=512, out_features=29, bias=True)
  (sigmoid): Sigmoid()
)
Start training...
[ Epoch 0 ]  - Training     loss : 0.24997 , acc : 0.920 , elapse : 0.26956 min  - Validation   loss : 0.19705 , acc : 0.935 , elapse : 0.04689 min    - [Info] The checkpoint file has been updated.
[ Epoch 1 ]  - Training     loss : 0.17947 , acc : 0.941 , elapse : 0.26984 min  - Validation   loss : 0.15914 , acc : 0.950 , elapse : 0.04657 min    - [Info] The checkpoint file has been updated.
[ Epoch 2 ]  - Training     loss : 0.14635 , acc : 0.951 , elapse : 0.26851 min  - Validation   loss : 0.14163 , acc : 0.954 , elapse : 0.04677 min    - [Info] The checkpoint file has been updated.
[ Epoch 3 ]  - Training     loss : 0.12772 , acc : 0.957 , elapse : 0.26902 min  - Validation   loss : 0.11124 , acc : 0.964 , elapse : 0.04682 min    - [Info] The checkpoint file has been updated.
[ Epoch 4 ]  - Training     loss : 0.10610 , acc : 0.963 , elapse : 0.27206 min  - Validation   loss : 0.09880 , acc : 0.969 , elapse : 0.04674 min    - [Info] The checkpoint file has been updated.
[ Epoch 5 ]  - Training     loss : 0.09741 , acc : 0.966 , elapse : 0.26858 min  - Validation   loss : 0.09553 , acc : 0.970 , elapse : 0.04671 min    - [Info] The checkpoint file has been updated.
[ Epoch 6 ]  - Training     loss : 0.09336 , acc : 0.968 , elapse : 0.26897 min  - Validation   loss : 0.08346 , acc : 0.973 , elapse : 0.04683 min    - [Info] The checkpoint file has been updated.
[ Epoch 7 ]  - Training     loss : 0.08108 , acc : 0.971 , elapse : 0.27292 min  - Validation   loss : 0.07496 , acc : 0.976 , elapse : 0.04659 min    - [Info] The checkpoint file has been updated.
[ Epoch 8 ]  - Training     loss : 0.07319 , acc : 0.974 , elapse : 0.26889 min  - Validation   loss : 0.06953 , acc : 0.977 , elapse : 0.04679 min    - [Info] The checkpoint file has been updated.
[ Epoch 9 ]  - Training     loss : 0.06816 , acc : 0.975 , elapse : 0.26941 min  - Validation   loss : 0.06535 , acc : 0.979 , elapse : 0.04703 min    - [Info] The checkpoint file has been updated.
[ Epoch 10 ]  - Training     loss : 0.06430 , acc : 0.976 , elapse : 0.27237 min  - Validation   loss : 0.06415 , acc : 0.979 , elapse : 0.04676 min    - [Info] The checkpoint file has been updated.
[ Epoch 11 ]  - Training     loss : 0.06270 , acc : 0.977 , elapse : 0.27012 min  - Validation   loss : 0.06326 , acc : 0.979 , elapse : 0.04663 min    - [Info] The checkpoint file has been updated.
[ Epoch 12 ]  - Training     loss : 0.06397 , acc : 0.977 , elapse : 0.26911 min  - Validation   loss : 0.06363 , acc : 0.979 , elapse : 0.04693 min
[ Epoch 13 ]  - Training     loss : 0.06033 , acc : 0.978 , elapse : 0.27317 min  - Validation   loss : 0.05757 , acc : 0.981 , elapse : 0.04649 min    - [Info] The checkpoint file has been updated.
